studentID, questionID, studentAnswer
001, Q1,"wather boild at 100 degrees celsius"
002, Q1,"100 degrees celsius"
003, Q1,"The boiling point of water is 100 degrees Celsius."
004, Q1,"150 degrees celsius"
005, Q1,"Greenland"
006, Q1,"น้ำเดือดที่ 100 องศาเซลเซียส"
001, Q2,"The capital of France is Paris."
002, Q2,"Paris is the capital of France."
003, Q2,"The capital of France is London."
004, Q2,"The capital city of France is Paris."
005, Q2,"Berlin is the capital of France."
001, Q3, "Bangkok is the capital of Thailand."
