studentID,questionID,studentAnswer,correctAnswer,similarity,score,need_review
1,Q1,wather boild at 100 degrees celsius,The boiling point of water is 100 degrees Celsius.,0.85,1.0,False
2,Q1,100 degrees celsius,The boiling point of water is 100 degrees Celsius.,0.74,0.0,True
3,Q1,The boiling point of water is 100 degrees Celsius.,The boiling point of water is 100 degrees Celsius.,1.0,1.0,False
4,Q1,150 degrees celsius,The boiling point of water is 100 degrees Celsius.,0.62,0.0,True
5,Q1,Greenland,The boiling point of water is 100 degrees Celsius.,0.03,0.0,True
6,Q1,น้ำเดือดที่ 100 องศาเซลเซียส,The boiling point of water is 100 degrees Celsius.,0.18,0.0,True
1,Q2,The capital of France is Paris.,The capital of France is Paris.,1.0,1.0,False
2,Q2,Paris is the capital of France.,The capital of France is Paris.,0.99,1.0,False
3,Q2,The capital of France is London.,The capital of France is Paris.,0.84,0.5,True
4,Q2,The capital city of France is Paris.,The capital of France is Paris.,0.98,1.0,False
5,Q2,Berlin is the capital of France.,The capital of France is Paris.,0.73,0.0,True
1,Q3,Bangkok is the capital of Thailand.,Bangkok is capital of Thailand,0.99,1.0,False
